,electrode_number,E_EEG,E_Brain,position,position_marker,x,y,z
0,11,E11,PS1,"[138.115783691406,166.815368652344,110.192565917969]",Y,138.115783691406,166.815368652344,110.192565917969
1,12,E12,PS2,"[142.168121337891,181.290649414063,112.606002807617]",Y,142.168121337891,181.290649414063,112.606002807617
2,13,E13,PS3,"[141.510070800781,183.282073974609,121.512069702148]",Y,141.510070800781,183.282073974609,121.512069702148
3,19,E19,AT1,"[134.525161743164,137.630401611328,79.4138793945313]",Y,134.525161743164,137.630401611328,79.4138793945313
4,20,E20,AT2,"[139.903259277344,145.456604003906,83.0818939208984]",Y,139.903259277344,145.456604003906,83.0818939208984
5,21,E21,AT3,"[143.370513916016,148.862396240234,92.4859619140625]",Y,143.370513916016,148.862396240234,92.4859619140625
6,22,E22,AT4,"[144.041473388672,150.005645751953,101.785850524902]",Y,144.041473388672,150.005645751953,101.785850524902
7,23,E23,AT5,"[149.880966186523,157.535461425781,109.604438781738]",Y,149.880966186523,157.535461425781,109.604438781738
8,24,E24,AT6,"[154.647979736328,163.507415771484,117.436767578125]",Y,154.647979736328,163.507415771484,117.436767578125
9,25,E25,PT1,"[154.758636474609,110.263961791992,85.9389953613281]",Y,154.758636474609,110.263961791992,85.9389953613281
10,26,E26,PT2,"[158.453872680664,115.566200256348,92.2268295288086]",Y,158.453872680664,115.566200256348,92.2268295288086
11,27,E27,PT3,"[160.516601562500,119.605796813965,100.308891296387]",Y,160.5166015625,119.605796813965,100.308891296387
12,28,E28,PT4,"[161.812072753906,123.173187255859,108.824371337891]",Y,161.812072753906,123.173187255859,108.824371337891
13,29,E29,PT5,"[162.116790771484,126.284957885742,115.731018066406]",Y,162.116790771484,126.284957885742,115.731018066406
14,30,E30,PT6,"[160.288848876953,129.866394042969,123.635498046875]",Y,160.288848876953,129.866394042969,123.635498046875
15,31,E31,PT7,"[159.121353149414,133.200607299805,132.419250488281]",Y,159.121353149414,133.200607299805,132.419250488281
16,33,E33,LO1,"[144.945297241211,46.3485412597656,112.528327941895]",Y,144.945297241211,46.3485412597656,112.528327941895
17,34,E34,LO2,"[146.870986938477,49.8311538696289,121.126220703125]",Y,146.870986938477,49.8311538696289,121.126220703125
18,35,E35,LO3,"[145.079147338867,54.2477951049805,127.038940429688]",Y,145.079147338867,54.2477951049805,127.038940429688
19,36,E36,LO4,"[144.717269897461,58.3753814697266,135.036666870117]",Y,144.717269897461,58.3753814697266,135.036666870117
20,37,E37,LO5,"[146.930099487305,62.2486381530762,141.753280639648]",Y,146.930099487305,62.2486381530762,141.753280639648
21,38,E38,LO6,"[148.839645385742,65.7437362670898,149.452529907227]",Y,148.839645385742,65.7437362670898,149.452529907227
22,39,E39,LO7,"[145.143127441406,70.3753051757813,155.929061889648]",Y,145.143127441406,70.3753051757813,155.929061889648
23,40,E40,LO8,"[143.513229370117,74.7163467407227,163.437545776367]",Y,143.513229370117,74.7163467407227,163.437545776367
24,41,E41,FP1,"[146.961120605469,174.306671142578,123.760581970215]",Y,146.961120605469,174.306671142578,123.760581970215
25,43,E43,FP3,"[151.499786376953,157.404510498047,131.628097534180]",Y,151.499786376953,157.404510498047,131.62809753418
26,44,E44,FP4,"[153.462875366211,148.822387695313,133.388748168945]",Y,153.462875366211,148.822387695313,133.388748168945
27,45,E45,FP5,"[156.297119140625,140.182327270508,136.509704589844]",Y,156.297119140625,140.182327270508,136.509704589844
28,46,E46,FP6,"[158.537979125977,131.797439575195,138.942169189453]",Y,158.537979125977,131.797439575195,138.942169189453
29,47,E47,FP7,"[160.533050537109,124.445297241211,141.089691162109]",Y,160.533050537109,124.445297241211,141.089691162109
30,48,E48,FP8,"[162.016784667969,110.453544616699,141.470611572266]",Y,162.016784667969,110.453544616699,141.470611572266
31,49,E49,FP9,"[143.651947021484,174.484573364258,130.920532226563]",Y,143.651947021484,174.484573364258,130.920532226563
32,50,E50,FP10,"[146.748474121094,166.293167114258,134.645828247070]",Y,146.748474121094,166.293167114258,134.64582824707
33,52,E52,FP12,"[150.225250244141,149.892730712891,139.931869506836]",Y,150.225250244141,149.892730712891,139.931869506836
34,53,E53,FP13,"[153.148330688477,140.105514526367,140.926330566406]",Y,153.148330688477,140.105514526367,140.926330566406
35,55,E55,FP15,"[158.148437500000,122.993423461914,146.970474243164]",Y,158.1484375,122.993423461914,146.970474243164
36,56,E56,FP16,"[162.753692626953,109.857589721680,149.125045776367]",Y,162.753692626953,109.85758972168,149.125045776367
37,57,E57,FP17,"[141.585845947266,172.507766723633,137.766143798828]",Y,141.585845947266,172.507766723633,137.766143798828
38,58,E58,FP18,"[145.272644042969,165.029968261719,141.507080078125]",Y,145.272644042969,165.029968261719,141.507080078125
39,59,E59,FP19,"[147.387954711914,154.761169433594,144.278991699219]",Y,147.387954711914,154.761169433594,144.278991699219
40,60,E60,FP20,"[148.658752441406,145.612274169922,144.978363037109]",Y,148.658752441406,145.612274169922,144.978363037109
41,61,E61,FP21,"[152.337371826172,136.531280517578,148.623443603516]",Y,152.337371826172,136.531280517578,148.623443603516
42,62,E62,FP22,"[153.248168945313,128.083526611328,150.412384033203]",Y,153.248168945313,128.083526611328,150.412384033203
43,63,E63,FP23,"[156.858428955078,120.272644042969,153.920471191406]",Y,156.858428955078,120.272644042969,153.920471191406
44,64,E64,FP24,"[159.923980712891,106.975082397461,154.952331542969]",Y,159.923980712891,106.975082397461,154.952331542969
45,65,E65,FP25,"[137.131286621094,170.852294921875,144.319641113281]",Y,137.131286621094,170.852294921875,144.319641113281
46,66,E66,FP26,"[142.332489013672,161.687164306641,147.960601806641]",Y,142.332489013672,161.687164306641,147.960601806641
47,67,E67,FP27,"[144.785705566406,151.356658935547,150.416473388672]",Y,144.785705566406,151.356658935547,150.416473388672
48,68,E68,FP28,"[147.659347534180,142.178451538086,152.842895507813]",Y,147.65934753418,142.178451538086,152.842895507813
49,69,E69,FP29,"[148.403366088867,133.275024414063,154.729370117188]",Y,148.403366088867,133.275024414063,154.729370117188
50,70,E70,FP30,"[151.385025024414,123.832473754883,157.891616821289]",Y,151.385025024414,123.832473754883,157.891616821289
51,72,E72,FP32,"[158.272949218750,102.543960571289,160.457229614258]",Y,158.27294921875,102.543960571289,160.457229614258
52,73,E73,FP33,"[132.517990112305,168.366882324219,150.232055664063]",Y,132.517990112305,168.366882324219,150.232055664063
53,74,E74,FP34,"[137.393859863281,159.848663330078,153.828704833984]",Y,137.393859863281,159.848663330078,153.828704833984
54,75,E75,FP35,"[139.177734375000,150.923767089844,155.853851318359]",Y,139.177734375,150.923767089844,155.853851318359
55,76,E76,FP36,"[142.160507202148,142.335327148438,158.860244750977]",Y,142.160507202148,142.335327148438,158.860244750977
56,77,E77,FP37,"[143.384338378906,133.111267089844,160.524078369141]",Y,143.384338378906,133.111267089844,160.524078369141
57,78,E78,FP38,"[147.340835571289,121.565628051758,163.375396728516]",Y,147.340835571289,121.565628051758,163.375396728516
58,79,E79,FP39,"[152.297546386719,110.439277648926,165.796768188477]",Y,152.297546386719,110.439277648926,165.796768188477
59,80,E80,FP40,"[154.009948730469,99.6354827880859,164.822769165039]",Y,154.009948730469,99.6354827880859,164.822769165039
60,81,E81,FP41,"[127.291488647461,165.805664062500,155.817199707031]",Y,127.291488647461,165.8056640625,155.817199707031
61,82,E82,FP42,"[131.881317138672,157.160125732422,159.293716430664]",Y,131.881317138672,157.160125732422,159.293716430664
62,83,E83,FP43,"[136.253372192383,147.930343627930,162.544525146484]",Y,136.253372192383,147.93034362793,162.544525146484
63,84,E84,FP44,"[137.512908935547,138.574401855469,164.481613159180]",Y,137.512908935547,138.574401855469,164.48161315918
64,85,E85,FP45,"[140.277969360352,127.609336853027,166.846221923828]",Y,140.277969360352,127.609336853027,166.846221923828
65,86,E86,FP46,"[142.474761962891,114.694999694824,168.628967285156]",Y,142.474761962891,114.694999694824,168.628967285156
66,87,E87,FP47,"[143.150955200195,102.914924621582,168.487869262695]",Y,143.150955200195,102.914924621582,168.487869262695
67,88,E88,FP48,"[146.296234130859,94.5201263427734,169.774810791016]",Y,146.296234130859,94.5201263427734,169.774810791016
68,89,E89,FP49,"[123.245368957520,163.177642822266,160.847427368164]",Y,123.24536895752,163.177642822266,160.847427368164
69,90,E90,FP50,"[126.428924560547,153.634704589844,163.887054443359]",Y,126.428924560547,153.634704589844,163.887054443359
70,91,E91,FP51,"[129.300964355469,144.774627685547,166.904693603516]",Y,129.300964355469,144.774627685547,166.904693603516
71,92,E92,FP52,"[128.704620361328,133.460098266602,168.202728271484]",Y,128.704620361328,133.460098266602,168.202728271484
72,93,E93,FP53,"[133.421844482422,121.468811035156,172.495513916016]",Y,133.421844482422,121.468811035156,172.495513916016
73,94,E94,FP54,"[139.751235961914,109.109580993652,176.829193115234]",Y,139.751235961914,109.109580993652,176.829193115234
74,95,E95,FP55,"[142.112106323242,98.2465896606445,177.792465209961]",Y,142.112106323242,98.2465896606445,177.792465209961
75,96,E96,FP56,"[145.032943725586,88.1519393920898,178.122940063477]",Y,145.032943725586,88.1519393920898,178.122940063477
76,97,E97,FP57,"[114.621780395508,160.439971923828,164.837707519531]",Y,114.621780395508,160.439971923828,164.837707519531
77,98,E98,FP58,"[119.675262451172,150.810089111328,170.158935546875]",Y,119.675262451172,150.810089111328,170.158935546875
78,99,E99,FP59,"[121.933197021484,140.269653320313,171.596832275391]",Y,121.933197021484,140.269653320313,171.596832275391
79,100,E100,FP60,"[125.119987487793,126.575744628906,176.024719238281]",Y,125.119987487793,126.575744628906,176.024719238281
80,101,E101,FP61,"[130.231506347656,114.293052673340,183.052642822266]",Y,130.231506347656,114.29305267334,183.052642822266
81,102,E102,FP62,"[135.048889160156,103.178604125977,186.348114013672]",Y,135.048889160156,103.178604125977,186.348114013672
82,103,E103,FP63,"[138.054092407227,90.9049072265625,185.148300170898]",Y,138.054092407227,90.9049072265625,185.148300170898
83,104,E104,FP64,"[139.827468872070,80.8504486083984,184.762222290039]",Y,139.82746887207,80.8504486083984,184.762222290039
