,electrode_number,E_EEG,E_Brain,position,position_marker,x,y,z,newX,newY,newZ,newPosition
0,11,E11,PS1,"[138.115783691406, 166.815368652344, 110.192565917969]",Y,138.115783691406,166.815368652344,110.192565917969,138.58,164.07,116.2,"[138.58, 164.07, 116.2]"
1,12,E12,PS2,"[142.168121337891, 181.290649414063, 112.606002807617]",Y,142.168121337891,181.290649414063,112.606002807617,136.71,176.99,121.1,"[136.71, 176.99, 121.1]"
2,13,E13,PS3,"[141.510070800781, 183.282073974609, 121.512069702148]",Y,141.510070800781,183.282073974609,121.512069702148,137.84,179.49,124.13,"[137.84, 179.49, 124.13]"
3,19,E19,AT1,"[134.525161743164, 137.630401611328, 79.4138793945313]",Y,134.525161743164,137.630401611328,79.4138793945313,134.68,137.82,78.492,"[134.68, 137.82, 78.492]"
4,20,E20,AT2,"[139.903259277344, 145.456604003906, 83.0818939208984]",Y,139.903259277344,145.456604003906,83.0818939208984,140.06,145.14,84.123,"[140.06, 145.14, 84.123]"
5,21,E21,AT3,"[143.370513916016, 148.862396240234, 92.4859619140625]",Y,143.370513916016,148.862396240234,92.4859619140625,142.52,147.13,93.297,"[142.52, 147.13, 93.297]"
6,22,E22,AT4,"[144.041473388672, 150.005645751953, 101.785850524902]",Y,144.041473388672,150.005645751953,101.785850524902,143.39,149.66,102.21,"[143.39, 149.66, 102.21]"
7,23,E23,AT5,"[149.880966186523, 157.535461425781, 109.604438781738]",Y,149.880966186523,157.535461425781,109.604438781738,145.75,157.04,116.2,"[145.75, 157.04, 116.2]"
8,24,E24,AT6,"[154.647979736328, 163.507415771484, 117.436767578125]",Y,154.647979736328,163.507415771484,117.436767578125,148.8,159.6,120.52,"[148.8, 159.6, 120.52]"
9,25,E25,PT1,"[154.758636474609, 110.263961791992, 85.9389953613281]",Y,154.758636474609,110.263961791992,85.9389953613281,155.45,109.98,85.885,"[155.45, 109.98, 85.885]"
10,26,E26,PT2,"[158.453872680664, 115.566200256348, 92.2268295288086]",Y,158.453872680664,115.566200256348,92.2268295288086,158.66,115.61,92.19,"[158.66, 115.61, 92.19]"
11,27,E27,PT3,"[160.5166015625, 119.605796813965, 100.308891296387]",Y,160.5166015625,119.605796813965,100.308891296387,160.36,119.64,100.29,"[160.36, 119.64, 100.29]"
12,28,E28,PT4,"[161.812072753906, 123.173187255859, 108.824371337891]",Y,161.812072753906,123.173187255859,108.824371337891,160.39,122.94,108.29,"[160.39, 122.94, 108.29]"
13,29,E29,PT5,"[162.116790771484, 126.284957885742, 115.731018066406]",Y,162.116790771484,126.284957885742,115.731018066406,159.54,125.03,115.51,"[159.54, 125.03, 115.51]"
14,30,E30,PT6,"[160.288848876953, 129.866394042969, 123.635498046875]",Y,160.288848876953,129.866394042969,123.635498046875,158.43,127.92,122.73,"[158.43, 127.92, 122.73]"
15,31,E31,PT7,"[159.121353149414, 133.200607299805, 132.419250488281]",Y,159.121353149414,133.200607299805,132.419250488281,157.42,132.87,133.36,"[157.42, 132.87, 133.36]"
16,33,E33,LO1,"[144.945297241211, 46.3485412597656, 112.528327941895]",Y,144.945297241211,46.3485412597656,112.528327941895,143.04,48.34,112.59,"[143.04, 48.34, 112.59]"
17,34,E34,LO2,"[146.870986938477, 49.8311538696289, 121.126220703125]",Y,146.870986938477,49.8311538696289,121.126220703125,145.15,50.335,120.79,"[145.15, 50.335, 120.79]"
18,35,E35,LO3,"[145.079147338867, 54.2477951049805, 127.038940429688]",Y,145.079147338867,54.2477951049805,127.038940429688,145.75,54.317,127.2,"[145.75, 54.317, 127.2]"
19,36,E36,LO4,"[144.717269897461, 58.3753814697266, 135.036666870117]",Y,144.717269897461,58.3753814697266,135.036666870117,146.3,58.263,135.04,"[146.3, 58.263, 135.04]"
20,37,E37,LO5,"[146.930099487305, 62.2486381530762, 141.753280639648]",Y,146.930099487305,62.2486381530762,141.753280639648,149.37,59.487,141.03,"[149.37, 59.487, 141.03]"
21,38,E38,LO6,"[148.839645385742, 65.7437362670898, 149.452529907227]",Y,148.839645385742,65.7437362670898,149.452529907227,152.15,65.093,149.88,"[152.15, 65.093, 149.88]"
22,39,E39,LO7,"[145.143127441406, 70.3753051757813, 155.929061889648]",Y,145.143127441406,70.3753051757813,155.929061889648,151.85,67.945,158.18,"[151.85, 67.945, 158.18]"
23,40,E40,LO8,"[143.513229370117, 74.7163467407227, 163.437545776367]",Y,143.513229370117,74.7163467407227,163.437545776367,150.85,71.821,164.52,"[150.85, 71.821, 164.52]"
24,41,E41,FP1,"[146.961120605469, 174.306671142578, 123.760581970215]",Y,146.961120605469,174.306671142578,123.760581970215,144.46,172.76,126.17,"[144.46, 172.76, 126.17]"
25,43,E43,FP3,"[151.499786376953, 157.404510498047, 131.62809753418]",Y,151.499786376953,157.404510498047,131.62809753418,152.57,157.21,131.6,"[152.57, 157.21, 131.6]"
26,44,E44,FP4,"[153.462875366211, 148.822387695313, 133.388748168945]",Y,153.462875366211,148.822387695313,133.388748168945,153.65,149.05,133.6,"[153.65, 149.05, 133.6]"
27,45,E45,FP5,"[156.297119140625, 140.182327270508, 136.509704589844]",Y,156.297119140625,140.182327270508,136.509704589844,156.04,139.34,136.33,"[156.04, 139.34, 136.33]"
28,46,E46,FP6,"[158.537979125977, 131.797439575195, 138.942169189453]",Y,158.537979125977,131.797439575195,138.942169189453,158.19,132.03,138.89,"[158.19, 132.03, 138.89]"
29,47,E47,FP7,"[160.533050537109, 124.445297241211, 141.089691162109]",Y,160.533050537109,124.445297241211,141.089691162109,159.32,124.41,141.09,"[159.32, 124.41, 141.09]"
30,48,E48,FP8,"[162.016784667969, 110.453544616699, 141.470611572266]",Y,162.016784667969,110.453544616699,141.470611572266,160.52,110.74,140.35,"[160.52, 110.74, 140.35]"
31,49,E49,FP9,"[143.651947021484, 174.484573364258, 130.920532226563]",Y,143.651947021484,174.484573364258,130.920532226563,144.26,175.01,130.69,"[144.26, 175.01, 130.69]"
32,50,E50,FP10,"[146.748474121094, 166.293167114258, 134.64582824707]",Y,146.748474121094,166.293167114258,134.64582824707,148.48,166.56,136.04,"[148.48, 166.56, 136.04]"
33,52,E52,FP12,"[150.225250244141, 149.892730712891, 139.931869506836]",Y,150.225250244141,149.892730712891,139.931869506836,153.14,150.46,139.94,"[153.14, 150.46, 139.94]"
34,53,E53,FP13,"[153.148330688477, 140.105514526367, 140.926330566406]",Y,153.148330688477,140.105514526367,140.926330566406,153.89,140.75,141.08,"[153.89, 140.75, 141.08]"
35,55,E55,FP15,"[158.1484375, 122.993423461914, 146.970474243164]",Y,158.1484375,122.993423461914,146.970474243164,158.62,123.22,146.76,"[158.62, 123.22, 146.76]"
36,56,E56,FP16,"[162.753692626953, 109.85758972168, 149.125045776367]",Y,162.753692626953,109.85758972168,149.125045776367,158.35,113.06,147.65,"[158.35, 113.06, 147.65]"
37,57,E57,FP17,"[141.585845947266, 172.507766723633, 137.766143798828]",Y,141.585845947266,172.507766723633,137.766143798828,143.99,174.85,137.72,"[143.99, 174.85, 137.72]"
38,58,E58,FP18,"[145.272644042969, 165.029968261719, 141.507080078125]",Y,145.272644042969,165.029968261719,141.507080078125,146.35,165.31,141.45,"[146.35, 165.31, 141.45]"
39,59,E59,FP19,"[147.387954711914, 154.761169433594, 144.278991699219]",Y,147.387954711914,154.761169433594,144.278991699219,151.74,155.53,144.39,"[151.74, 155.53, 144.39]"
40,60,E60,FP20,"[148.658752441406, 145.612274169922, 144.978363037109]",Y,148.658752441406,145.612274169922,144.978363037109,151.29,145.79,147.41,"[151.29, 145.79, 147.41]"
41,61,E61,FP21,"[152.337371826172, 136.531280517578, 148.623443603516]",Y,152.337371826172,136.531280517578,148.623443603516,154.49,137.57,149.38,"[154.49, 137.57, 149.38]"
42,62,E62,FP22,"[153.248168945313, 128.083526611328, 150.412384033203]",Y,153.248168945313,128.083526611328,150.412384033203,155.14,128.4,151.82,"[155.14, 128.4, 151.82]"
43,63,E63,FP23,"[156.858428955078, 120.272644042969, 153.920471191406]",Y,156.858428955078,120.272644042969,153.920471191406,156.15,120.02,153.45,"[156.15, 120.02, 153.45]"
44,64,E64,FP24,"[159.923980712891, 106.975082397461, 154.952331542969]",Y,159.923980712891,106.975082397461,154.952331542969,158.0,105.82,154.42,"[158.0, 105.82, 154.42]"
45,65,E65,FP25,"[137.131286621094, 170.852294921875, 144.319641113281]",Y,137.131286621094,170.852294921875,144.319641113281,138.65,176.28,145.0,"[138.65, 176.28, 145.0]"
46,66,E66,FP26,"[142.332489013672, 161.687164306641, 147.960601806641]",Y,142.332489013672,161.687164306641,147.960601806641,147.25,162.63,147.6,"[147.25, 162.63, 147.6]"
47,67,E67,FP27,"[144.785705566406, 151.356658935547, 150.416473388672]",Y,144.785705566406,151.356658935547,150.416473388672,150.89,152.94,152.05,"[150.89, 152.94, 152.05]"
48,68,E68,FP28,"[147.65934753418, 142.178451538086, 152.842895507813]",Y,147.65934753418,142.178451538086,152.842895507813,149.65,142.71,152.9,"[149.65, 142.71, 152.9]"
49,69,E69,FP29,"[148.403366088867, 133.275024414063, 154.729370117188]",Y,148.403366088867,133.275024414063,154.729370117188,152.17,131.0,157.15,"[152.17, 131.0, 157.15]"
50,70,E70,FP30,"[151.385025024414, 123.832473754883, 157.891616821289]",Y,151.385025024414,123.832473754883,157.891616821289,151.78,123.75,158.24,"[151.78, 123.75, 158.24]"
51,72,E72,FP32,"[158.27294921875, 102.543960571289, 160.457229614258]",Y,158.27294921875,102.543960571289,160.457229614258,156.54,102.33,159.78,"[156.54, 102.33, 159.78]"
52,73,E73,FP33,"[132.517990112305, 168.366882324219, 150.232055664063]",Y,132.517990112305,168.366882324219,150.232055664063,137.01,174.05,155.7,"[137.01, 174.05, 155.7]"
53,74,E74,FP34,"[137.393859863281, 159.848663330078, 153.828704833984]",Y,137.393859863281,159.848663330078,153.828704833984,143.09,162.64,158.66,"[143.09, 162.64, 158.66]"
54,75,E75,FP35,"[139.177734375, 150.923767089844, 155.853851318359]",Y,139.177734375,150.923767089844,155.853851318359,144.14,151.84,162.92,"[144.14, 151.84, 162.92]"
55,76,E76,FP36,"[142.160507202148, 142.335327148438, 158.860244750977]",Y,142.160507202148,142.335327148438,158.860244750977,148.21,142.67,160.8,"[148.21, 142.67, 160.8]"
56,77,E77,FP37,"[143.384338378906, 133.111267089844, 160.524078369141]",Y,143.384338378906,133.111267089844,160.524078369141,147.16,134.23,165.08,"[147.16, 134.23, 165.08]"
57,78,E78,FP38,"[147.340835571289, 121.565628051758, 163.375396728516]",Y,147.340835571289,121.565628051758,163.375396728516,150.51,122.25,165.69,"[150.51, 122.25, 165.69]"
58,79,E79,FP39,"[152.297546386719, 110.439277648926, 165.796768188477]",Y,152.297546386719,110.439277648926,165.796768188477,151.31,110.55,164.78,"[151.31, 110.55, 164.78]"
59,80,E80,FP40,"[154.009948730469, 99.6354827880859, 164.822769165039]",Y,154.009948730469,99.6354827880859,164.822769165039,153.98,100.0,164.82,"[153.98, 100.0, 164.82]"
60,81,E81,FP41,"[127.291488647461, 165.8056640625, 155.817199707031]",Y,127.291488647461,165.8056640625,155.817199707031,131.4,172.62,161.6,"[131.4, 172.62, 161.6]"
61,82,E82,FP42,"[131.881317138672, 157.160125732422, 159.293716430664]",Y,131.881317138672,157.160125732422,159.293716430664,138.16,161.08,165.06,"[138.16, 161.08, 165.06]"
62,83,E83,FP43,"[136.253372192383, 147.93034362793, 162.544525146484]",Y,136.253372192383,147.93034362793,162.544525146484,140.52,148.41,167.21,"[140.52, 148.41, 167.21]"
63,84,E84,FP44,"[137.512908935547, 138.574401855469, 164.48161315918]",Y,137.512908935547,138.574401855469,164.48161315918,142.75,136.52,168.71,"[142.75, 136.52, 168.71]"
64,85,E85,FP45,"[140.277969360352, 127.609336853027, 166.846221923828]",Y,140.277969360352,127.609336853027,166.846221923828,142.04,130.06,169.9,"[142.04, 130.06, 169.9]"
65,86,E86,FP46,"[142.474761962891, 114.694999694824, 168.628967285156]",Y,142.474761962891,114.694999694824,168.628967285156,145.17,114.96,171.41,"[145.17, 114.96, 171.41]"
66,87,E87,FP47,"[143.150955200195, 102.914924621582, 168.487869262695]",Y,143.150955200195,102.914924621582,168.487869262695,146.76,103.58,170.76,"[146.76, 103.58, 170.76]"
67,88,E88,FP48,"[146.296234130859, 94.5201263427734, 169.774810791016]",Y,146.296234130859,94.5201263427734,169.774810791016,147.76,94.178,171.56,"[147.76, 94.178, 171.56]"
68,89,E89,FP49,"[123.24536895752, 163.177642822266, 160.847427368164]",Y,123.24536895752,163.177642822266,160.847427368164,129.2,166.06,169.38,"[129.2, 166.06, 169.38]"
69,90,E90,FP50,"[126.428924560547, 153.634704589844, 163.887054443359]",Y,126.428924560547,153.634704589844,163.887054443359,133.42,161.35,169.8,"[133.42, 161.35, 169.8]"
70,91,E91,FP51,"[129.300964355469, 144.774627685547, 166.904693603516]",Y,129.300964355469,144.774627685547,166.904693603516,137.16,147.88,171.68,"[137.16, 147.88, 171.68]"
71,92,E92,FP52,"[128.704620361328, 133.460098266602, 168.202728271484]",Y,128.704620361328,133.460098266602,168.202728271484,140.12,132.22,171.27,"[140.12, 132.22, 171.27]"
72,93,E93,FP53,"[133.421844482422, 121.468811035156, 172.495513916016]",Y,133.421844482422,121.468811035156,172.495513916016,137.67,123.0,177.15,"[137.67, 123.0, 177.15]"
73,94,E94,FP54,"[139.751235961914, 109.109580993652, 176.829193115234]",Y,139.751235961914,109.109580993652,176.829193115234,140.32,109.09,177.43,"[140.32, 109.09, 177.43]"
74,95,E95,FP55,"[142.112106323242, 98.2465896606445, 177.792465209961]",Y,142.112106323242,98.2465896606445,177.792465209961,142.29,98.175,177.88,"[142.29, 98.175, 177.88]"
75,96,E96,FP56,"[145.032943725586, 88.1519393920898, 178.122940063477]",Y,145.032943725586,88.1519393920898,178.122940063477,143.92,88.27,177.4,"[143.92, 88.27, 177.4]"
76,97,E97,FP57,"[114.621780395508, 160.439971923828, 164.837707519531]",Y,114.621780395508,160.439971923828,164.837707519531,119.12,165.91,172.85,"[119.12, 165.91, 172.85]"
77,98,E98,FP58,"[119.675262451172, 150.810089111328, 170.158935546875]",Y,119.675262451172,150.810089111328,170.158935546875,122.92,155.61,177.25,"[122.92, 155.61, 177.25]"
78,99,E99,FP59,"[121.933197021484, 140.269653320313, 171.596832275391]",Y,121.933197021484,140.269653320313,171.596832275391,125.12,143.59,182.1,"[125.12, 143.59, 182.1]"
79,100,E100,FP60,"[125.119987487793, 126.575744628906, 176.024719238281]",Y,125.119987487793,126.575744628906,176.024719238281,131.39,125.66,183.05,"[131.39, 125.66, 183.05]"
80,101,E101,FP61,"[130.231506347656, 114.29305267334, 183.052642822266]",Y,130.231506347656,114.29305267334,183.052642822266,131.54,115.3,184.82,"[131.54, 115.3, 184.82]"
81,102,E102,FP62,"[135.048889160156, 103.178604125977, 186.348114013672]",Y,135.048889160156,103.178604125977,186.348114013672,133.2,102.91,184.34,"[133.2, 102.91, 184.34]"
82,103,E103,FP63,"[138.054092407227, 90.9049072265625, 185.148300170898]",Y,138.054092407227,90.9049072265625,185.148300170898,137.57,90.938,183.88,"[137.57, 90.938, 183.88]"
83,104,E104,FP64,"[139.82746887207, 80.8504486083984, 184.762222290039]",Y,139.82746887207,80.8504486083984,184.762222290039,137.67,83.359,181.82,"[137.67, 83.359, 181.82]"
